title,description,publishedAt,url,category,keyword
West Nile virus detected in UK mosquitoes for first time,"A UK Health Safety Agency spokesperson said the risk to the general public is ""very low"".",2025-05-21T09:31:57Z,https://www.bbc.com/news/articles/c77115e0645o,health,health
Birmingham council gets court order over bin lorry blocking,Birmingham City Council says it needs to fulfil its public health duty by clearing street waste.,2025-05-24T07:51:43Z,https://www.bbc.com/news/articles/cy4e00wwdndo,health,health
Urgent mental health centres to open across England,The plans would allow people in acute mental distress to get treatment in hospital while also reducing A&E wait times.,2025-05-24T03:47:02Z,https://www.bbc.com/news/articles/c75343nx06go,health,health
