title,description,publishedAt,url,category,keyword
"Amazon Is Going All In for Memorial Day, The Garmin Forerunner 265 Hits an All-Time Low Price","Garmin is the undisputed leader in sports smartwatches, and this model is built to suit everyone.",2025-05-22T15:45:28Z,https://gizmodo.com/amazon-is-going-all-in-for-memorial-day-the-garmin-forerunner-265-hits-an-all-time-low-price-2000605904,sports,sport
"Apple Sports App Updated With Improved Access to Standings and NHL Goal Scorers, New Sports Newsletter","Apple today updated its Apple Sports app with several tweaks to improve the user experience, including at-a-glance standings on league pages, highlighting of goal scorers at the top of NHL game pages, and support for the upcoming Relegation Playoff in the Ger…",2025-05-19T17:35:42Z,https://www.macrumors.com/2025/05/19/apple-sports-app-newsletter/,sports,sport
"Today's NYT Connections: Sports Edition Hints and Answers for May 24, #243","Here's today's Connections: Sports Edition answer and hints for groups. These clues will help you solve The New York Times' popular puzzle game, Connections: Sports Edition, every day.",2025-05-23T20:00:06Z,https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-may-24-243/,sports,sport
