title,description,publishedAt,url,category,keyword
23andMe (and Your Genetic Data) Sold to Regeneron in Bankruptcy Auction,"The pharmaceutical company bought ""substantially all"" of 23andMe's business for $256 million.",2025-05-19T17:11:24Z,https://gizmodo.com/23andme-and-your-genetic-data-sold-to-regeneron-in-bankruptcy-auction-2000604050,business,business
The Secrets Behind Barry Diller’s Business Success,A conversation with media industry legend Barry Diller about creating successful projects and organizations.,2025-05-20T12:20:00Z,https://hbr.org/podcast/2025/05/the-secrets-behind-barry-dillers-business-success,business,business
Blue Origin's next crew includes entrepreneurs and founders. Here's who's following Katy Perry and Lauren Sánchez into space.,Blue Origin's next crew includes business figures and entrepreneurs after the high-profile mission featuring Katy Perry and Lauren Sánchez.,2025-05-23T07:08:42Z,https://www.businessinsider.com/blue-origin-crew-entrepreneurs-business-space-ceos-jeff-bezos-2025-5,business,business
