title,description,publishedAt,url,category,keyword
Microsoft employee disrupts Satya Nadella’s Build conference keynote,"A Microsoft employee disrupted the company’s Build developer conference in Seattle, Washington, this morning, protesting against the company’s cloud and AI contracts with the Israeli government. Microsoft CEO Satya Nadella had only been on stage for a matter …",2025-05-19T16:55:58Z,https://www.theverge.com/news/669362/microsoft-employee-protest-build-conference-satya-nadella,technology,ai
"Trump's 'Big Beautiful Bill' would create 'unfettered abuse' of AI, 141 high-profile orgs warn in letter to Congress","The signatories include Georgetown Law's Center on Privacy and Technology, the Southern Poverty Law Center, the Alphabet Workers Union, and more.",2025-05-19T20:49:27Z,https://www.businessinsider.com/trump-bill-create-unfettered-abuse-ai-2025-5,technology,ai
OpenAI's Big Bet That Jony Ive Can Make AI Hardware Work,"Io, a firm Ive and Sam Altman cocreated, will now merge with OpenAI.",2025-05-21T18:33:39Z,https://www.wired.com/story/jony-ive-open-ai-hardware-io/,technology,ai
